"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC02551",-2.63208036333006,-1.58215831433565,-7.77984384451344,1.43495851624466e-13,6.64575628858034e-12,20.2475173154117
"TNC",-2.11336377413803,9.53317317995941,-7.77604883120725,1.47072930261077e-13,6.77216157767636e-12,20.223454091653
"CCDC177",2.70020484692817,-2.20563060407725,7.77588094825241,1.47233190701443e-13,6.77216157767636e-12,20.2223897612438
"INHBA",-2.2463647958588,6.42661224011713,-7.76690529037262,1.56057211071554e-13,7.08286932977032e-12,20.165508003524
"CYP4X1",2.76541775397955,1.58011205261496,7.75405992446858,1.69601263259146e-13,7.63970803147024e-12,20.0841756908694
"PSORS1C1",-2.08028163738519,0.609946424081781,-7.74770086293957,1.76729521068783e-13,7.91616120166786e-12,20.0439442542482
"MYCN",2.01567434631768,-0.383884578708528,7.73773613985933,1.88499055672316e-13,8.38068899838845e-12,19.9809436736087
"PARM1",2.0290523353461,3.57658365980918,7.7298042782815,1.984180821029e-13,8.80535355465535e-12,19.9308327577352
"GRIN2A",3.18907597075718,-1.28958149976034,7.71294987754568,2.21238373547076e-13,9.74587570529805e-12,19.8244617746573
"COL19A1",3.1590967711516,-2.41850879095723,7.71032852359442,2.25013227610738e-13,9.89397612195179e-12,19.8079313824096
"FOXD3",2.40637752969727,-2.27026422197344,7.70776642608939,2.28764198925109e-13,1.00059166746502e-11,19.791778158869
"PI15",-2.10288695328588,2.6732189020255,-7.70372123241781,2.34812544964399e-13,1.02496317441291e-11,19.7662815142887
"KLK6",-3.78474924812963,3.52318444275531,-7.67925015360114,2.74917553117116e-13,1.1785553207332e-11,19.6122256081187
"RNF157-AS1",2.23758147510666,-3.12507838321093,7.63647480116183,3.61895471162312e-13,1.5082544471189e-11,19.3436980114702
"EYA2",2.81274178247877,2.70709065449459,7.61804488766942,4.07278089733818e-13,1.67986439627904e-11,19.2283019716586
"PNMA3",2.37073346052069,-2.2710126355091,7.61711892238379,4.09700835474509e-13,1.68695374936618e-11,19.2225089672695
"EPGN",-3.85967683371691,2.85941690667433,-7.60392989923424,4.45793996207689e-13,1.81993310479064e-11,19.1400458524711
"AC010643.1",2.59649232204445,-2.2815018815606,7.58791953501835,4.93846569672671e-13,2.00585410095524e-11,19.0400677628779
"CNGB1",-3.38688703689239,2.70657749208909,-7.58649476294139,4.98362706082078e-13,2.0207722315653e-11,19.0311773150596
"SLC44A5",-2.0768129136862,3.4280212618775,-7.57891018948956,5.23098644002778e-13,2.11391836507295e-11,18.9838686225757
"NLRP10",-3.48212763542176,-0.715394137343194,-7.57195608169304,5.46841298842136e-13,2.19226315840237e-11,18.9405196326359
"KIAA0895LP1",2.58955668626284,-2.83432788713262,7.57163172459406,5.47974308080045e-13,2.19226315840237e-11,18.9384983617641
"ENPP6",2.41806710587599,-2.13686123992575,7.55875672524232,5.94868823221874e-13,2.36408565168971e-11,18.8583120034326
"NAV3",-2.12289083472527,1.98860282391033,-7.55612727941244,6.04922222451781e-13,2.39609192377429e-11,18.8419466285969
"DMRTA2",4.21400064288491,-1.75009628744387,7.54392429555543,6.53817778293989e-13,2.57275685370068e-11,18.7660454960046
"FAM182A",2.24286014350527,-3.20611069475935,7.54303591493874,6.57525986176907e-13,2.58310700536777e-11,18.7605230149321
"AC011483.1",-2.10097131844878,-2.79040076863639,-7.53953784616023,6.72330202079095e-13,2.63263414421951e-11,18.73878195964
"LINC01615",-2.20035429553852,1.551685864343,-7.53607188965474,6.8732283805498e-13,2.68695016168834e-11,18.7172470176732
